nil,        ; Pyramids (The Black Sea Grain Trade)
nil,        ; Colossus (The Colossus)
nil,        ; Lighthouse (The Lighthouse)
nil,        ; Great Wall (The Long Wall)
nil,        ; Sun Tzu's War Academy (The Great Academy)
nil,        ; Marco Polo's Embassy (The Grand Embassy)
nil,        ; Copernicus (The Great Observatory)
nil,        ; Magellan (The Great Voyage)
nil,        ; Newton (The Great College)
nil,        ; Smith's Trading Co. (The Great Agora)
nil,        ; Darwin (The Eureka moment)
nil,        ; Statue of Liberty (The Statue of Zeus)
nil,        ; Eiffel Tower (The Statue of Apollo)
nil,        ; United Nations (The Grand League)
nil,        ; Hanging Gardens (The Great Temple of Apollo)
nil,        ; Bach (The  Great Temple of Dionysis)
nil,        ; Shakespeare (The Great Temple of Athena)
nil,        ; Michelangelo (The Great Temple of Zeus) 
nil,        ; Oracle (The Great Temple of Poseidon)
nil,        ; Cure for Cancer (The Great Temple of Aphrodite)
nil,        ; Women's Suffrage (The Great Temple of Artemis)
nil,        ; King Richard's Crusade (The Grand Mines)
nil,        ; Hoover Dam (The Great Forge)
